id,name,party,partyLabel,votes,election,electionLabel,ranking
Q28867747,Elisha McCallion,Q76382,Sinn Féin,9205,Q28231972,2017 Assembly election,1
Q2134210,Raymond McCartney,Q76382,Sinn Féin,8608.76,Q28231972,2017 Assembly election,2
Q5149523,Colum Eastwood,Q175443,Social Democratic and Labour Party,7595.30,Q28231972,2017 Assembly election,3
Q6767859,Mark H. Durkan,Q175443,Social Democratic and Labour Party,8413.68,Q28231972,2017 Assembly election,4
Q21130106,Gary Middleton,Q215519,Democratic Unionist Party,7036.37,Q28231972,2017 Assembly election,5
Q2904605,Eamonn McCann,Q3545406,People Before Profit Alliance,6373.16,Q28231972,2017 Assembly election,6
,Julia Kee,Q841045,Ulster Unionist Party,1704.50,Q28231972,2017 Assembly election,7
,Colm Cavanagh,Q244927,Alliance Party of Northern Ireland,1295.22,Q28231972,2017 Assembly election,8
,Shannon Downey,Q1096979,Green Party of Northern Ireland,264.42,Q28231972,2017 Assembly election,9
,John Lindsay,Q19903723,Cannabis Is Safer Than Alcohol,225.45,Q28231972,2017 Assembly election,10
,Stuart Canning,Q7058484,Northern Ireland Conservatives,78.90,Q28231972,2017 Assembly election,11
,Arthur McGuinness,Q327591,Independent (politician),56.35,Q28231972,2017 Assembly election,12
Q21130106,Gary Middleton,Q215519,Democratic Unionist Party,6641,Q16973450,2016 Assembly election,1
Q2134210,Raymond McCartney,Q76382,Sinn Féin,5676,Q16973450,2016 Assembly election,2
Q6767859,Mark H. Durkan,Q175443,Social Democratic and Labour Party,6905,Q16973450,2016 Assembly election,3
Q5149523,Colum Eastwood,Q175443,Social Democratic and Labour Party,5804,Q16973450,2016 Assembly election,4
Q57689,Martin McGuinness,Q76382,Sinn Féin,5712,Q16973450,2016 Assembly election,5
Q2904605,Eamonn McCann,Q3545406,People Before Profit Alliance,5394,Q16973450,2016 Assembly election,6
,Dr. Anne McCloskey,Q327591,Independent politician,4227,Q16973450,2016 Assembly election,7
Q22004073,Gerard Diver,Q175443,Social Democratic and Labour Party,3249,Q16973450,2016 Assembly election,8
Q6729407,Maeve McLaughlin,Q76382,Sinn Féin,3114,Q16973450,2016 Assembly election,9
,Julia Kee,Q841045,Ulster Unionist Party,1484,Q16973450,2016 Assembly election,10
Q18358115,Maurice Devenney,Q327591,Independent politician,1213,Q16973450,2016 Assembly election,11
,Kathleen Bradley,Q327591,Independent politician,928,Q16973450,2016 Assembly election,12
,John Lindsay,Q19903723,Cannabis Is Safer Than Alcohol,259,Q16973450,2016 Assembly election,13
,Chris McCaw,Q244927,Alliance Party of Northern Ireland,238,Q16973450,2016 Assembly election,14
,Mary Hassan,Q1096979,Green Party of Northern Ireland,157,Q16973450,2016 Assembly election,15
,Alan Dunlop,Q7058484,Northern Ireland Conservatives,36,Q16973450,2016 Assembly election,16
Q8011049,William Hay,Q215519,Democratic Unionist Party,7154,Q7058474,2011 Assembly election,1
Q4992676,Martina Anderson,Q76382,Sinn Féin,6950,Q7058474,2011 Assembly election,2
Q6767859,Mark H. Durkan,Q175443,Social Democratic and Labour Party,5794,Q7058474,2011 Assembly election,3
Q2134210,Raymond McCartney,Q76382,Sinn Féin,6245,Q7058474,2011 Assembly election,4
Q5149523,Colum Eastwood,Q175443,Social Democratic and Labour Party,5563,Q7058474,2011 Assembly election,5
Q7143946,Pat Ramsey,Q175443,Social Democratic and Labour Party,4876,Q7058474,2011 Assembly election,6
